,temp,windspeed,casual,dia_sem_encoded,laborables_0,laborables_1,weathersit_encoded,month_encoded
0,14.110847,10.749882,331,4,1,0,2,1
1,14.902598,16.652113,131,3,0,1,2,1
2,8.050924,16.636703,120,1,0,1,3,1
3,8.2,10.739832,108,1,0,1,3,1
4,9.305237,12.5223,82,0,0,1,3,1
5,8.378268,6.0008684,88,1,1,0,3,1
6,8.057402,11.304642,148,2,1,0,2,1
7,6.765,17.875868,68,4,0,1,2,1
8,5.671653,24.25065,54,3,0,1,3,1
9,6.184153,14.958889,41,1,0,1,3,1
10,6.932731,8.182844,43,1,0,1,2,1
11,7.081807,20.410009,25,0,0,1,3,1
12,6.765,20.167,38,1,1,0,3,1
13,6.59567,8.478716,54,2,1,0,3,1
14,9.566653,10.583521,222,4,1,0,2,1
15,9.498347,12.625011,251,3,0,1,3,1
16,7.209153,12.999139,117,1,0,1,2,1
17,8.883347,9.833925,9,1,0,1,2,1
18,11.979134,13.957239,78,0,0,1,2,1
19,10.728347,13.125568,83,1,1,0,2,1
20,7.2775,23.667214,75,2,1,0,3,1
21,2.4243464,11.52199,93,4,0,1,3,1
22,3.9573897,16.5222,150,3,0,1,3,1
23,3.9930433,10.60811,86,1,0,1,3,1
24,9.162598,8.696332,186,1,0,1,2,1
25,8.9175,19.68795,34,0,0,1,1,1
26,7.995,7.627079,15,1,1,0,3,1
27,8.342598,8.2611,38,2,1,0,2,1
28,8.057402,9.739455,123,4,0,1,3,1
29,8.877402,4.9568342,140,3,0,1,3,1
30,7.414153,12.541864,42,1,0,1,2,1
31,7.879134,3.565271,47,1,0,1,2,2
32,10.66,17.708636,72,0,0,1,2,2
33,7.665237,18.609384,61,1,1,0,3,2
34,8.663464,8.565213,88,2,1,0,2,2
35,9.566653,10.792293,100,4,0,1,2,2
36,11.719153,9.5006,354,3,0,1,3,2
37,11.138347,3.0423561,120,1,0,1,3,2
38,9.054153,24.25065,64,1,0,1,3,2
39,5.526103,12.652213,53,0,0,1,2,2
40,5.918268,14.869645,47,1,1,0,3,2
41,7.752731,7.27285,149,2,1,0,3,2
42,9.1225,13.625589,288,4,0,1,3,2
43,12.977402,17.479161,397,3,0,1,3,2
44,17.015,27.999836,208,1,0,1,3,2
45,10.909567,19.522058,140,1,0,1,3,2
46,13.048701,16.869997,218,0,0,1,3,2
47,17.869153,15.416968,259,1,1,0,3,2
48,21.388347,17.749975,579,2,1,0,3,2
49,16.365847,34.000021,532,4,1,0,3,2
50,11.693897,14.956745,639,3,0,1,3,2
51,12.436653,20.625682,195,1,0,1,2,2
52,7.471102,13.110761,74,1,0,1,3,2
53,9.091299,6.305571,139,0,0,1,3,2
54,12.121732,16.783232,100,1,1,0,2,2
55,14.938268,23.218113,120,2,1,0,2,2
56,11.5825,12.500257,424,4,0,1,3,2
57,14.082598,8.391616,694,3,0,1,3,2
58,16.698193,19.408962,81,1,0,1,2,2
59,10.933347,14.500475,137,1,0,1,3,4
60,13.735,20.624811,231,0,0,1,3,4
61,8.131653,15.125518,123,1,1,0,3,4
62,10.728347,13.624182,214,2,1,0,2,4
63,15.750847,16.875357,640,4,0,1,2,4
64,15.437402,23.000229,114,3,0,1,2,4
65,10.731299,22.870584,244,1,0,1,3,4
66,11.9925,8.08355,316,1,0,1,3,4
67,12.129153,14.75005,191,0,0,1,2,4
68,15.952731,17.545759,46,1,1,0,1,4
69,12.977402,15.60899,247,2,1,0,2,4
70,13.495847,14.791925,724,4,0,1,3,4
71,15.758268,18.130468,982,3,0,1,3,4
72,13.333897,9.174042,359,1,0,1,3,4
73,13.013031,12.348703,289,1,0,1,2,4
74,14.973897,13.608839,321,0,0,1,2,4
75,17.015,14.041793,424,1,1,0,3,4
76,22.14,15.478139,884,2,1,0,3,4
77,19.3725,24.667189,1424,4,0,1,3,4
78,13.6325,13.917307,1047,3,0,1,3,4
79,17.647835,19.348461,401,1,0,1,2,4
80,18.108347,15.12525,460,1,0,1,3,4
81,14.225237,15.695487,203,0,0,1,2,4
82,11.685,16.333729,166,1,1,0,2,4
83,10.830847,15.458575,300,2,1,0,3,4
84,10.899153,14.041257,981,4,0,1,3,4
85,10.374763,12.3481,472,3,0,1,2,4
86,10.838268,14.217668,222,1,0,1,3,4
87,12.4025,15.208732,317,1,0,1,3,4
88,12.3,11.583496,168,0,0,1,2,4
89,11.001653,14.582282,179,1,1,0,1,4
90,12.3,17.333436,307,2,1,0,2,5
91,12.915,13.208782,898,4,0,1,2,5
92,15.511653,12.208271,1651,3,0,1,3,5
93,23.506653,25.833257,734,1,1,0,3,5
94,16.980847,26.000489,167,1,0,1,2,5
95,16.024153,17.625221,413,0,0,1,3,5
96,17.9375,10.874904,571,1,1,0,3,5
97,13.769153,15.208464,172,2,1,0,2,5
98,14.0425,8.916561,879,4,0,1,2,5
99,17.493347,9.833389,1188,3,0,1,2,5
100,24.421732,21.739758,855,1,0,1,2,5
101,20.6025,18.416893,257,1,0,1,2,5
102,16.9125,16.791339,209,0,0,1,2,5
103,19.1675,7.4169,529,1,1,0,3,5
104,18.313347,15.167125,642,2,1,0,3,5
105,17.664153,22.834136,121,4,1,0,1,5
106,18.723347,20.334232,1558,3,0,1,3,5
107,21.0125,10.958989,669,1,0,1,3,5
108,20.739153,10.584057,409,1,0,1,2,5
109,24.395,16.208975,613,0,0,1,3,5
110,18.825847,21.792286,745,1,1,0,3,5
111,13.803347,14.707907,177,2,1,0,2,5
112,18.86,15.458575,1462,4,0,1,2,5
113,23.848347,12.875725,1710,3,0,1,2,5
114,24.873347,12.417311,773,1,0,1,3,5
115,25.898347,21.8755,678,1,0,1,3,5
116,25.42,20.9174,547,0,0,1,2,5
117,25.3175,21.500836,569,1,1,0,2,5
118,20.91,16.084221,878,2,1,0,3,5
119,19.3725,15.750025,1965,4,0,1,3,5
120,18.518347,7.125718,1138,3,0,1,2,6
121,22.515847,12.291418,847,1,0,1,2,6
122,25.283347,22.958689,603,1,0,1,2,6
123,16.980847,22.042732,255,0,0,1,2,6
124,18.825847,19.791264,614,1,1,0,3,6
125,19.645847,15.292482,894,2,1,0,3,6
126,21.32,10.75015,1612,4,0,1,3,6
127,21.661653,5.0007125,1401,3,0,1,3,6
128,21.8325,11.792,664,1,0,1,3,6
129,21.8325,7.749957,694,1,0,1,3,6
130,22.2425,8.083014,550,0,0,1,3,6
131,21.935,12.707689,695,1,1,0,3,6
132,21.0125,12.041575,692,2,1,0,2,6
133,21.354153,9.04165,902,4,0,1,2,6
134,23.0625,10.249593,1582,3,0,1,2,6
135,23.6775,8.500357,773,1,0,1,3,6
136,23.028347,18.582718,678,1,0,1,2,6
137,22.55,13.499964,536,0,0,1,2,6
138,21.764153,7.250271,735,1,1,0,2,6
139,22.003347,8.375871,909,2,1,0,3,6
140,24.7025,8.08355,2258,4,0,1,3,6
141,24.770847,9.916536,1576,3,0,1,3,6
142,25.898347,15.667414,836,1,0,1,2,6
143,27.06,13.875164,659,1,0,1,2,6
144,27.094153,10.333611,740,0,0,1,3,6
145,29.041653,13.376014,758,1,1,0,3,6
146,27.948347,16.125493,871,2,1,0,3,6
147,26.889153,15.416164,2001,4,1,0,3,6
148,27.3675,14.333846,2355,3,0,1,3,6
149,30.066653,8.792075,1549,1,0,1,3,6
150,31.775,7.459043,673,1,0,1,3,6
151,31.330847,13.875164,513,0,0,1,2,7
152,29.315,19.583229,736,1,1,0,3,7
153,25.42,16.959107,898,2,1,0,3,7
154,26.035,8.250514,1869,4,0,1,3,7
155,26.581653,9.292364,1685,3,0,1,2,7
156,27.811653,8.167032,673,1,0,1,3,7
157,29.0075,12.583136,763,1,0,1,3,7
158,31.809153,9.166739,676,0,0,1,3,7
159,33.141653,10.042161,563,1,1,0,2,7
160,30.955,9.417118,815,2,1,0,3,7
161,29.725,10.37495,1729,4,0,1,3,7
162,28.3925,10.958989,1467,3,0,1,3,7
163,26.035,20.45845,863,1,0,1,3,7
164,24.770847,18.041961,727,1,0,1,3,7
165,25.693347,11.250104,769,0,0,1,3,7
166,25.761653,13.833557,545,1,1,0,2,7
167,26.615847,9.582943,863,2,1,0,3,7
168,28.563347,8.000336,1807,4,0,1,3,7
169,28.665847,6.834,1639,3,0,1,2,7
170,26.035,10.416825,699,1,0,1,2,7
171,27.914153,11.458675,774,1,0,1,2,7
172,30.066653,11.541554,661,0,0,1,3,7
173,29.861653,15.999868,746,1,1,0,2,7
174,29.690847,14.875675,969,2,1,0,3,7
175,28.495,14.041257,1782,4,0,1,3,7
176,27.88,6.3337311,1920,3,0,1,3,7
177,27.9825,7.208396,854,1,0,1,2,7
178,30.510847,9.666961,732,1,0,1,3,7
179,29.861653,17.542007,848,0,0,1,3,7
180,28.563347,12.415904,1027,1,1,0,3,7
181,29.6225,6.874736,1246,2,1,0,3,7
182,30.271653,7.709154,2204,4,0,1,3,7
183,29.383347,15.333486,2282,3,0,1,2,7
184,29.793347,5.4591064,3065,1,0,1,2,7
185,30.613347,8.459286,1031,1,0,1,3,7
186,29.52,10.042161,784,0,0,1,3,7
187,30.75,10.6664,754,1,1,0,3,7
188,29.075847,15.083643,692,2,1,0,2,7
189,30.066653,11.250104,1988,4,0,1,3,7
190,30.6475,12.292557,1743,3,0,1,3,7
191,31.2625,18.916579,723,1,0,1,3,7
192,32.560847,13.417018,662,1,0,1,3,7
193,30.613347,9.790911,748,0,0,1,3,7
194,27.914153,16.124689,888,1,1,0,3,7
195,27.196653,12.249811,1318,2,1,0,3,7
196,28.153347,13.958914,2418,4,0,1,3,7
197,29.485847,16.417211,2006,3,0,1,3,7
198,30.613347,14.458868,841,1,0,1,3,7
199,31.843347,8.7502,752,1,0,1,3,7
200,31.501653,7.625739,644,0,0,1,3,7
201,33.415,14.875407,632,1,1,0,2,7
202,34.781653,8.9177,562,2,1,0,3,7
203,34.815847,8.791807,987,4,0,1,3,7
204,34.03,11.334457,1050,3,0,1,3,7
205,30.476653,6.0841561,568,1,0,1,3,7
206,31.638347,13.417286,750,1,0,1,3,7
207,31.775,12.292021,755,0,0,1,3,7
208,31.945847,11.958093,606,1,1,0,3,7
209,34.371653,11.667246,670,2,1,0,3,7
210,32.970847,11.291979,1559,4,0,1,3,7
211,33.039153,11.042471,1524,3,0,1,3,7
212,31.638347,10.500039,729,1,0,1,3,7
213,32.116653,13.79195,801,1,0,1,3,7
214,29.998347,9.084061,467,0,0,1,2,7
215,29.11,13.20905,799,1,1,0,2,7
216,29.144153,12.374632,1023,2,1,0,3,7
217,29.383347,15.29275,1521,4,0,1,2,7
218,30.4425,13.499629,1298,3,0,1,3,7
219,31.365,12.875725,846,1,0,1,3,7
220,31.775,10.125107,907,1,0,1,3,7
221,31.433347,13.417286,884,0,0,1,3,7
222,29.4175,11.041332,812,1,1,0,3,7
223,29.041653,8.416607,1051,2,1,0,3,7
224,28.119153,14.167418,1504,4,0,1,2,7
225,27.743347,14.916411,1338,3,0,1,2,7
226,27.299153,13.999918,775,1,0,1,3,7
227,28.734153,15.834043,721,1,0,1,3,7
228,29.656653,9.625689,668,0,0,1,3,7
229,29.178347,15.624936,639,1,1,0,3,7
230,28.085,9.333636,797,2,1,0,2,7
231,28.5975,6.999289,1914,4,0,1,3,7
232,29.144153,16.666518,1249,3,0,1,3,7
233,28.358347,18.54225,833,1,0,1,3,7
234,26.274153,9.833121,1281,1,0,1,3,7
235,27.606653,16.958236,949,0,0,1,3,7
236,28.050847,14.125811,435,1,1,0,2,7
237,28.7,5.6254875,768,2,1,0,3,7
238,27.88,25.166339,226,4,0,1,2,7
239,28.989419,20.412153,1415,3,0,1,3,7
240,26.103347,10.708275,729,1,0,1,3,7
241,26.205847,8.375536,775,1,0,1,3,7
242,26.923347,5.5833311,688,0,0,1,3,7
243,26.855,9.500332,783,1,1,0,3,7
244,26.376653,9.375243,875,2,1,0,2,7
245,27.435847,12.416775,1935,4,1,0,3,7
246,29.075847,13.833289,2521,3,0,1,3,7
247,27.606653,14.250632,1236,1,0,1,2,7
248,22.14,23.044181,204,1,0,1,1,7
249,24.565847,6.5003936,118,0,0,1,1,7
250,25.990433,12.914116,153,1,1,0,1,7
251,26.65,8.333393,417,2,1,0,2,7
252,27.06,10.291736,1750,4,0,1,3,7
253,26.786653,7.708618,1633,3,0,1,3,7
254,26.418268,5.957171,690,1,0,1,3,7
255,26.684153,9.500868,701,1,0,1,3,7
256,27.606653,11.2091,647,0,0,1,3,7
257,23.6775,18.166782,428,1,1,0,2,7
258,19.235847,11.000261,742,2,1,0,2,7
259,20.158347,12.708225,1434,4,0,1,2,7
260,20.8075,11.958361,1353,3,0,1,3,7
261,22.515847,10.166714,691,1,0,1,2,7
262,23.028347,9.041918,438,1,0,1,2,7
263,24.395,6.4590814,539,0,0,1,2,7
264,25.761653,8.584375,555,1,1,0,2,7
265,24.975847,5.2505689,258,2,1,0,2,7
266,24.873347,5.2516811,1776,4,0,1,2,7
267,26.000847,3.3754064,1544,3,0,1,2,7
268,26.615847,7.4169,684,1,0,1,2,7
269,26.103347,7.917457,477,1,0,1,2,7
270,26.035,9.958143,480,0,0,1,2,7
271,25.283347,11.583161,653,1,1,0,3,7
272,23.130847,13.833825,830,2,1,0,3,7
273,16.81,19.583832,480,4,0,1,2,5
274,14.623347,14.874871,616,3,0,1,2,5
275,15.750847,5.5841686,330,1,0,1,2,5
276,19.850847,13.792218,486,1,0,1,3,5
277,22.071653,11.87575,559,0,0,1,3,5
278,20.260847,9.041918,639,1,1,0,3,5
279,20.944153,1.5002439,949,2,1,0,3,5
280,21.388347,3.0420814,2235,4,1,0,3,5
281,22.174153,4.25115,2397,3,0,1,3,5
282,23.404153,2.8343814,1514,1,0,1,3,5
283,23.233347,9.583814,667,1,0,1,2,5
284,22.276653,16.62605,217,0,0,1,1,5
285,24.155847,9.499729,290,1,1,0,2,5
286,22.584153,15.000161,529,2,1,0,2,5
287,20.773347,17.291561,1899,4,0,1,3,5
288,20.978347,18.875039,1748,3,0,1,3,5
289,21.900847,11.750393,713,1,0,1,3,5
290,21.8325,7.375829,637,1,0,1,2,5
291,22.211299,16.303713,254,0,0,1,1,5
292,19.509153,28.292425,471,1,1,0,3,5
293,17.5275,14.833532,676,2,1,0,3,5
294,17.3225,6.2086689,1499,4,0,1,3,5
295,17.288347,6.6673375,1619,3,0,1,3,5
296,18.996653,7.959064,699,1,0,1,3,5
297,19.338347,11.166086,695,1,0,1,3,5
298,19.850847,9.959014,404,0,0,1,2,5
299,19.27,13.250121,240,1,1,0,2,5
300,13.564153,15.375093,456,2,1,0,2,5
301,10.420847,23.541857,57,4,0,1,1,5
302,13.085847,11.833339,885,3,0,1,3,5
303,13.94,7.12545,362,1,0,1,3,5
304,16.434153,9.083257,410,1,0,1,3,4
305,15.4775,5.5001439,370,0,0,1,3,4
306,16.741653,9.166739,318,1,1,0,3,4
307,16.536653,18.209193,470,2,1,0,2,4
308,13.393347,12.667154,1156,4,0,1,3,4
309,14.281653,6.1676314,952,3,0,1,3,4
310,16.195,3.834075,373,1,0,1,3,4
311,16.741653,4.6255125,376,1,0,1,3,4
312,16.4,4.1671186,305,0,0,1,3,4
313,15.58,12.667489,190,1,1,0,2,4
314,13.290847,21.083225,440,2,1,0,3,4
315,14.623347,14.208154,1275,4,1,0,3,4
316,18.074153,18.875307,1004,3,0,1,3,4
317,21.73,20.541932,595,1,0,1,3,4
318,21.73,13.375411,449,1,0,1,2,4
319,18.723347,9.167543,145,0,0,1,1,4
320,14.008347,20.459254,139,1,1,0,2,4
321,11.240847,11.291711,245,2,1,0,3,4
322,13.495847,15.041232,943,4,0,1,3,4
323,18.996653,12.45865,787,3,0,1,2,4
324,18.3475,9.249618,220,1,0,1,1,4
325,17.083347,7.959064,69,1,1,0,1,4
326,18.074153,22.500275,112,0,0,1,2,4
327,15.306653,11.209368,560,1,1,0,3,4
328,15.375,6.6260186,1095,2,1,0,3,4
329,15.409153,4.5841936,1249,4,0,1,3,4
330,18.825847,13.999918,810,3,0,1,3,4
331,20.642598,9.522174,253,1,0,1,3,4
332,18.791653,17.292164,96,1,0,1,2,4
333,13.325,18.167586,188,0,0,1,3,4
334,12.8125,14.750586,182,1,1,0,3,3
335,12.880847,6.750518,268,2,1,0,3,3
336,12.265847,6.4174811,706,4,0,1,3,3
337,13.564153,5.6252061,634,3,0,1,3,3
338,15.819153,4.1679561,233,1,0,1,2,3
339,18.9625,15.583061,126,1,0,1,1,3
340,16.81,17.833725,50,0,0,1,1,3
341,10.899153,16.083886,150,1,1,0,3,3
342,11.924153,5.5420189,261,2,1,0,3,3
343,11.275,15.625807,502,4,0,1,3,3
344,9.054153,4.4582939,377,3,0,1,3,3
345,9.771653,4.25115,143,1,0,1,3,3
346,11.5825,9.41685,155,1,0,1,3,3
347,13.0175,4.0842061,178,0,0,1,2,3
348,17.3225,17.958814,181,1,1,0,2,3
349,15.375,17.458525,178,2,1,0,2,3
350,10.591653,16.292189,275,4,0,1,2,3
351,9.771653,11.375193,220,3,0,1,3,3
352,11.343347,11.584032,260,1,0,1,3,3
353,15.819153,4.1252436,216,1,0,1,2,3
354,17.561653,14.8338,107,0,0,1,2,3
355,17.356653,3.167425,227,1,1,0,2,3
356,15.306653,18.374482,163,2,1,0,3,3
357,12.4025,12.750368,155,4,0,1,3,3
358,11.266103,10.391097,303,3,1,0,3,3
359,13.191299,16.044155,430,1,0,1,3,3
360,13.325,12.62615,103,1,0,1,2,3
361,12.26433,19.695387,255,0,0,1,3,3
362,10.181653,8.000604,254,1,1,0,3,3
363,12.778347,9.000579,491,2,1,0,3,3
364,16.81,14.750318,665,4,0,1,3,3
365,15.17,12.875189,686,3,1,0,3,1
366,11.194763,22.087555,244,1,0,1,3,1
