,temp,windspeed,registered,dia_sem_encoded,laborables_0,laborables_1,weathersit_encoded,month_encoded
0,14.110847,10.749882,654,1,1,0,2,1
1,14.902598,16.652113,670,1,0,1,2,1
2,8.050924,16.636703,1229,2,0,1,3,1
3,8.2,10.739832,1454,3,0,1,3,1
4,9.305237,12.5223,1518,3,0,1,3,1
5,8.378268,6.0008684,1518,3,1,0,3,1
6,8.057402,11.304642,1362,2,1,0,2,1
7,6.765,17.875868,891,1,0,1,2,1
8,5.671653,24.25065,768,1,0,1,3,1
9,6.184153,14.958889,1280,2,0,1,3,1
10,6.932731,8.182844,1220,3,0,1,2,1
11,7.081807,20.410009,1137,3,0,1,3,1
12,6.765,20.167,1368,3,1,0,3,1
13,6.59567,8.478716,1367,2,1,0,3,1
14,9.566653,10.583521,1026,1,1,0,2,1
15,9.498347,12.625011,953,1,0,1,3,1
16,7.209153,12.999139,883,2,0,1,2,1
17,8.883347,9.833925,674,3,0,1,2,1
18,11.979134,13.957239,1572,3,0,1,2,1
19,10.728347,13.125568,1844,3,1,0,2,1
20,7.2775,23.667214,1468,2,1,0,3,1
21,2.4243464,11.52199,888,1,0,1,3,1
22,3.9573897,16.5222,836,1,0,1,3,1
23,3.9930433,10.60811,1330,2,0,1,3,1
24,9.162598,8.696332,1799,3,0,1,2,1
25,8.9175,19.68795,472,3,0,1,1,1
26,7.995,7.627079,416,3,1,0,3,1
27,8.342598,8.2611,1129,2,1,0,2,1
28,8.057402,9.739455,975,1,0,1,3,1
29,8.877402,4.9568342,956,1,0,1,3,1
30,7.414153,12.541864,1459,2,0,1,2,1
31,7.879134,3.565271,1313,3,0,1,2,2
32,10.66,17.708636,1454,3,0,1,2,2
33,7.665237,18.609384,1489,3,1,0,3,2
34,8.663464,8.565213,1620,2,1,0,2,2
35,9.566653,10.792293,905,1,0,1,2,2
36,11.719153,9.5006,1269,1,0,1,3,2
37,11.138347,3.0423561,1592,2,0,1,3,2
38,9.054153,24.25065,1466,3,0,1,3,2
39,5.526103,12.652213,1552,3,0,1,2,2
40,5.918268,14.869645,1491,3,1,0,3,2
41,7.752731,7.27285,1597,2,1,0,3,2
42,9.1225,13.625589,1184,1,0,1,3,2
43,12.977402,17.479161,1192,1,0,1,3,2
44,17.015,27.999836,1705,2,0,1,3,2
45,10.909567,19.522058,1675,3,0,1,3,2
46,13.048701,16.869997,1897,3,0,1,3,2
47,17.869153,15.416968,2216,3,1,0,3,2
48,21.388347,17.749975,2348,2,1,0,3,2
49,16.365847,34.000021,1103,1,1,0,3,2
50,11.693897,14.956745,1173,1,0,1,3,2
51,12.436653,20.625682,912,2,0,1,2,2
52,7.471102,13.110761,1376,3,0,1,3,2
53,9.091299,6.305571,1778,3,0,1,3,2
54,12.121732,16.783232,1707,3,1,0,2,2
55,14.938268,23.218113,1341,2,1,0,2,2
56,11.5825,12.500257,1545,1,0,1,3,2
57,14.082598,8.391616,1708,1,0,1,3,2
58,16.698193,19.408962,1365,2,0,1,2,2
59,10.933347,14.500475,1714,3,0,1,3,3
60,13.735,20.624811,1903,3,0,1,3,3
61,8.131653,15.125518,1562,3,1,0,3,3
62,10.728347,13.624182,1730,2,1,0,2,3
63,15.750847,16.875357,1437,1,0,1,2,3
64,15.437402,23.000229,491,1,0,1,2,3
65,10.731299,22.870584,1628,2,0,1,3,3
66,11.9925,8.08355,1817,3,0,1,3,3
67,12.129153,14.75005,1700,3,0,1,2,3
68,15.952731,17.545759,577,3,1,0,1,3
69,12.977402,15.60899,1730,2,1,0,2,3
70,13.495847,14.791925,1408,1,0,1,3,3
71,15.758268,18.130468,1435,1,0,1,3,3
72,13.333897,9.174042,1687,2,0,1,3,3
73,13.013031,12.348703,1767,3,0,1,2,3
74,14.973897,13.608839,1871,3,0,1,2,3
75,17.015,14.041793,2320,3,1,0,3,3
76,22.14,15.478139,2355,2,1,0,3,3
77,19.3725,24.667189,1693,1,0,1,3,3
78,13.6325,13.917307,1424,1,0,1,3,3
79,17.647835,19.348461,1676,2,0,1,2,3
80,18.108347,15.12525,2243,3,0,1,3,3
81,14.225237,15.695487,1918,3,0,1,2,3
82,11.685,16.333729,1699,3,1,0,2,3
83,10.830847,15.458575,1910,2,1,0,3,3
84,10.899153,14.041257,1515,1,0,1,3,3
85,10.374763,12.3481,1221,1,0,1,2,3
86,10.838268,14.217668,1806,2,0,1,3,3
87,12.4025,15.208732,2108,3,0,1,3,3
88,12.3,11.583496,1368,3,0,1,2,3
89,11.001653,14.582282,1506,3,1,0,1,3
90,12.3,17.333436,1920,2,1,0,2,5
91,12.915,13.208782,1354,1,0,1,2,5
92,15.511653,12.208271,1598,1,0,1,3,5
93,23.506653,25.833257,2381,2,1,0,3,5
94,16.980847,26.000489,1628,3,0,1,2,5
95,16.024153,17.625221,2395,3,0,1,3,5
96,17.9375,10.874904,2570,3,1,0,3,5
97,13.769153,15.208464,1299,2,1,0,2,5
98,14.0425,8.916561,1576,1,0,1,2,5
99,17.493347,9.833389,1707,1,0,1,2,5
100,24.421732,21.739758,2493,2,0,1,2,5
101,20.6025,18.416893,1777,3,0,1,2,5
102,16.9125,16.791339,1953,3,0,1,2,5
103,19.1675,7.4169,2738,3,1,0,3,5
104,18.313347,15.167125,2484,2,1,0,3,5
105,17.664153,22.834136,674,1,1,0,1,5
106,18.723347,20.334232,2186,1,0,1,3,5
107,21.0125,10.958989,2760,2,0,1,3,5
108,20.739153,10.584057,2795,3,0,1,2,5
109,24.395,16.208975,3331,3,0,1,3,5
110,18.825847,21.792286,3444,3,1,0,3,5
111,13.803347,14.707907,1506,2,1,0,2,5
112,18.86,15.458575,2574,1,0,1,2,5
113,23.848347,12.875725,2481,1,0,1,2,5
114,24.873347,12.417311,3300,2,0,1,3,5
115,25.898347,21.8755,3722,3,0,1,3,5
116,25.42,20.9174,3325,3,0,1,2,5
117,25.3175,21.500836,3489,3,1,0,2,5
118,20.91,16.084221,3717,2,1,0,3,5
119,19.3725,15.750025,3347,1,0,1,3,5
120,18.518347,7.125718,2213,1,0,1,2,6
121,22.515847,12.291418,3554,2,0,1,2,6
122,25.283347,22.958689,3848,3,0,1,2,6
123,16.980847,22.042732,2378,3,0,1,2,6
124,18.825847,19.791264,3819,3,1,0,3,6
125,19.645847,15.292482,3714,2,1,0,3,6
126,21.32,10.75015,3102,1,0,1,3,6
127,21.661653,5.0007125,2932,1,0,1,3,6
128,21.8325,11.792,3698,2,0,1,3,6
129,21.8325,7.749957,4109,3,0,1,3,6
130,22.2425,8.083014,3632,3,0,1,3,6
131,21.935,12.707689,4169,3,1,0,3,6
132,21.0125,12.041575,3413,2,1,0,2,6
133,21.354153,9.04165,2507,1,0,1,2,6
134,23.0625,10.249593,2971,1,0,1,2,6
135,23.6775,8.500357,3185,2,0,1,3,6
136,23.028347,18.582718,3445,3,0,1,2,6
137,22.55,13.499964,3319,3,0,1,2,6
138,21.764153,7.250271,3840,3,1,0,2,6
139,22.003347,8.375871,4008,2,1,0,3,6
140,24.7025,8.08355,3547,1,0,1,3,6
141,24.770847,9.916536,3084,1,0,1,3,6
142,25.898347,15.667414,3438,2,0,1,2,6
143,27.06,13.875164,3833,3,0,1,2,6
144,27.094153,10.333611,4238,3,0,1,3,6
145,29.041653,13.376014,3919,3,1,0,3,6
146,27.948347,16.125493,3808,2,1,0,3,6
147,26.889153,15.416164,2757,1,1,0,3,6
148,27.3675,14.333846,2433,1,0,1,3,6
149,30.066653,8.792075,2549,2,0,1,3,6
150,31.775,7.459043,3309,3,0,1,3,6
151,31.330847,13.875164,3461,3,0,1,2,8
152,29.315,19.583229,4232,3,1,0,3,8
153,25.42,16.959107,4414,2,1,0,3,8
154,26.035,8.250514,3473,1,0,1,3,8
155,26.581653,9.292364,3221,1,0,1,2,8
156,27.811653,8.167032,3875,2,0,1,3,8
157,29.0075,12.583136,4070,3,0,1,3,8
158,31.809153,9.166739,3725,3,0,1,3,8
159,33.141653,10.042161,3352,3,1,0,2,8
160,30.955,9.417118,3771,2,1,0,3,8
161,29.725,10.37495,3237,1,0,1,3,8
162,28.3925,10.958989,2993,1,0,1,3,8
163,26.035,20.45845,4157,2,0,1,3,8
164,24.770847,18.041961,4164,3,0,1,3,8
165,25.693347,11.250104,4411,3,0,1,3,8
166,25.761653,13.833557,3222,3,1,0,2,8
167,26.615847,9.582943,3981,2,1,0,3,8
168,28.563347,8.000336,3312,1,0,1,3,8
169,28.665847,6.834,3105,1,0,1,2,8
170,26.035,10.416825,3311,2,0,1,2,8
171,27.914153,11.458675,4061,3,0,1,2,8
172,30.066653,11.541554,3846,3,0,1,3,8
173,29.861653,15.999868,4044,3,1,0,2,8
174,29.690847,14.875675,4022,2,1,0,3,8
175,28.495,14.041257,3420,1,0,1,3,8
176,27.88,6.3337311,3385,1,0,1,3,8
177,27.9825,7.208396,3854,2,0,1,2,8
178,30.510847,9.666961,3916,3,0,1,3,8
179,29.861653,17.542007,4377,3,0,1,3,8
180,28.563347,12.415904,4488,3,1,0,3,8
181,29.6225,6.874736,4116,2,1,0,3,7
182,30.271653,7.709154,2915,1,0,1,3,7
183,29.383347,15.333486,2367,1,0,1,2,7
184,29.793347,5.4591064,2978,2,0,1,2,7
185,30.613347,8.459286,3634,3,0,1,3,7
186,29.52,10.042161,3845,3,0,1,3,7
187,30.75,10.6664,3838,3,1,0,3,7
188,29.075847,15.083643,3348,2,1,0,2,7
189,30.066653,11.250104,3348,1,0,1,3,7
190,30.6475,12.292557,3138,1,0,1,3,7
191,31.2625,18.916579,3363,2,0,1,3,7
192,32.560847,13.417018,3596,3,0,1,3,7
193,30.613347,9.790911,3594,3,0,1,3,7
194,27.914153,16.124689,4196,3,1,0,3,7
195,27.196653,12.249811,4220,2,1,0,3,7
196,28.153347,13.958914,3505,1,0,1,3,7
197,29.485847,16.417211,3296,1,0,1,3,7
198,30.613347,14.458868,3617,2,0,1,3,7
199,31.843347,8.7502,3789,3,0,1,3,7
200,31.501653,7.625739,3688,3,0,1,3,7
201,33.415,14.875407,3152,3,1,0,2,7
202,34.781653,8.9177,2825,2,1,0,3,7
203,34.815847,8.791807,2298,1,0,1,3,7
204,34.03,11.334457,2556,1,0,1,3,7
205,30.476653,6.0841561,3272,2,0,1,3,7
206,31.638347,13.417286,3840,3,0,1,3,7
207,31.775,12.292021,3901,3,0,1,3,7
208,31.945847,11.958093,3784,3,1,0,3,7
209,34.371653,11.667246,3176,2,1,0,3,7
210,32.970847,11.291979,2916,1,0,1,3,7
211,33.039153,11.042471,2778,1,0,1,3,7
212,31.638347,10.500039,3537,2,0,1,3,8
213,32.116653,13.79195,4044,3,0,1,3,8
214,29.998347,9.084061,3107,3,0,1,2,8
215,29.11,13.20905,3777,3,1,0,2,8
216,29.144153,12.374632,3843,2,1,0,3,8
217,29.383347,15.29275,2773,1,0,1,2,8
218,30.4425,13.499629,2487,1,0,1,3,8
219,31.365,12.875725,3480,2,0,1,3,8
220,31.775,10.125107,3695,3,0,1,3,8
221,31.433347,13.417286,3896,3,0,1,3,8
222,29.4175,11.041332,3980,3,1,0,3,8
223,29.041653,8.416607,3854,2,1,0,3,8
224,28.119153,14.167418,2646,1,0,1,2,8
225,27.743347,14.916411,2482,1,0,1,2,8
226,27.299153,13.999918,3563,2,0,1,3,8
227,28.734153,15.834043,4004,3,0,1,3,8
228,29.656653,9.625689,4026,3,0,1,3,8
229,29.178347,15.624936,3166,3,1,0,3,8
230,28.085,9.333636,3356,2,1,0,2,8
231,28.5975,6.999289,3277,1,0,1,3,8
232,29.144153,16.666518,2624,1,0,1,3,8
233,28.358347,18.54225,3925,2,0,1,3,8
234,26.274153,9.833121,4614,3,0,1,3,8
235,27.606653,16.958236,4181,3,0,1,3,8
236,28.050847,14.125811,3107,3,1,0,2,8
237,28.7,5.6254875,3893,2,1,0,3,8
238,27.88,25.166339,889,1,0,1,2,8
239,28.989419,20.412153,2919,1,0,1,3,8
240,26.103347,10.708275,3905,2,0,1,3,8
241,26.205847,8.375536,4429,3,0,1,3,8
242,26.923347,5.5833311,4370,3,0,1,3,8
243,26.855,9.500332,4332,3,1,0,3,8
244,26.376653,9.375243,3852,2,1,0,2,8
245,27.435847,12.416775,2549,1,1,0,3,8
246,29.075847,13.833289,2419,1,0,1,3,8
247,27.606653,14.250632,2115,2,0,1,2,8
248,22.14,23.044181,2506,3,0,1,1,8
249,24.565847,6.5003936,1878,3,0,1,1,8
250,25.990433,12.914116,1689,3,1,0,1,8
251,26.65,8.333393,3127,2,1,0,2,8
252,27.06,10.291736,3595,1,0,1,3,8
253,26.786653,7.708618,3413,1,0,1,3,8
254,26.418268,5.957171,4023,2,0,1,3,8
255,26.684153,9.500868,4062,3,0,1,3,8
256,27.606653,11.2091,4138,3,0,1,3,8
257,23.6775,18.166782,3231,3,1,0,2,8
258,19.235847,11.000261,4018,2,1,0,2,8
259,20.158347,12.708225,3077,1,0,1,2,8
260,20.8075,11.958361,2921,1,0,1,3,8
261,22.515847,10.166714,3848,2,0,1,2,8
262,23.028347,9.041918,3203,3,0,1,2,8
263,24.395,6.4590814,3813,3,0,1,2,8
264,25.761653,8.584375,4240,3,1,0,2,8
265,24.975847,5.2505689,2137,2,1,0,2,8
266,24.873347,5.2516811,3647,1,0,1,2,8
267,26.000847,3.3754064,3466,1,0,1,2,8
268,26.615847,7.4169,3946,2,0,1,2,8
269,26.103347,7.917457,3643,3,0,1,2,8
270,26.035,9.958143,3427,3,0,1,2,8
271,25.283347,11.583161,4186,3,1,0,3,8
272,23.130847,13.833825,4372,2,1,0,3,8
273,16.81,19.583832,1949,1,0,1,2,7
274,14.623347,14.874871,2302,1,0,1,2,7
275,15.750847,5.5841686,3240,2,0,1,2,7
276,19.850847,13.792218,3970,3,0,1,3,7
277,22.071653,11.87575,4267,3,0,1,3,7
278,20.260847,9.041918,4126,3,1,0,3,7
279,20.944153,1.5002439,4036,2,1,0,3,7
280,21.388347,3.0420814,3174,1,1,0,3,7
281,22.174153,4.25115,3114,1,0,1,3,7
282,23.404153,2.8343814,3603,2,0,1,3,7
283,23.233347,9.583814,3896,3,0,1,2,7
284,22.276653,16.62605,2199,3,0,1,1,7
285,24.155847,9.499729,2623,3,1,0,2,7
286,22.584153,15.000161,3115,2,1,0,2,7
287,20.773347,17.291561,3318,1,0,1,3,7
288,20.978347,18.875039,3293,1,0,1,3,7
289,21.900847,11.750393,3857,2,0,1,3,7
290,21.8325,7.375829,4111,3,0,1,2,7
291,22.211299,16.303713,2170,3,0,1,1,7
292,19.509153,28.292425,3724,3,1,0,3,7
293,17.5275,14.833532,3628,2,1,0,3,7
294,17.3225,6.2086689,2809,1,0,1,3,7
295,17.288347,6.6673375,2762,1,0,1,3,7
296,18.996653,7.959064,3488,2,0,1,3,7
297,19.338347,11.166086,3992,3,0,1,3,7
298,19.850847,9.959014,3490,3,0,1,2,7
299,19.27,13.250121,2419,3,1,0,2,7
300,13.564153,15.375093,3291,2,1,0,2,7
301,10.420847,23.541857,570,1,0,1,1,7
302,13.085847,11.833339,2446,1,0,1,3,7
303,13.94,7.12545,3307,2,0,1,3,7
304,16.434153,9.083257,3658,3,0,1,3,6
305,15.4775,5.5001439,3816,3,0,1,3,6
306,16.741653,9.166739,3656,3,1,0,3,6
307,16.536653,18.209193,3576,2,1,0,2,6
308,13.393347,12.667154,2770,1,0,1,3,6
309,14.281653,6.1676314,2697,1,0,1,3,6
310,16.195,3.834075,3662,2,0,1,3,6
311,16.741653,4.6255125,3829,3,0,1,3,6
312,16.4,4.1671186,3804,3,0,1,3,6
313,15.58,12.667489,2743,3,1,0,2,6
314,13.290847,21.083225,2928,2,1,0,3,6
315,14.623347,14.208154,2792,1,1,0,3,6
316,18.074153,18.875307,2713,1,0,1,3,6
317,21.73,20.541932,3891,2,0,1,3,6
318,21.73,13.375411,3746,3,0,1,2,6
319,18.723347,9.167543,1672,3,0,1,1,6
320,14.008347,20.459254,2914,3,1,0,2,6
321,11.240847,11.291711,3147,2,1,0,3,6
322,13.495847,15.041232,2720,1,0,1,3,6
323,18.996653,12.45865,2733,1,0,1,2,6
324,18.3475,9.249618,2545,2,0,1,1,6
325,17.083347,7.959064,1538,3,1,0,1,6
326,18.074153,22.500275,2454,3,0,1,2,6
327,15.306653,11.209368,935,3,1,0,3,6
328,15.375,6.6260186,1697,2,1,0,3,6
329,15.409153,4.5841936,1819,1,0,1,3,6
330,18.825847,13.999918,2261,1,0,1,3,6
331,20.642598,9.522174,3614,2,0,1,3,6
332,18.791653,17.292164,2818,3,0,1,2,6
333,13.325,18.167586,3425,3,0,1,3,6
334,12.8125,14.750586,3545,3,1,0,3,4
335,12.880847,6.750518,3672,2,1,0,3,4
336,12.265847,6.4174811,2908,1,0,1,3,4
337,13.564153,5.6252061,2851,1,0,1,3,4
338,15.819153,4.1679561,3578,2,0,1,2,4
339,18.9625,15.583061,2468,3,0,1,1,4
340,16.81,17.833725,655,3,0,1,1,4
341,10.899153,16.083886,3172,3,1,0,3,4
342,11.924153,5.5420189,3359,2,1,0,3,4
343,11.275,15.625807,2688,1,0,1,3,4
344,9.054153,4.4582939,2366,1,0,1,3,4
345,9.771653,4.25115,3167,2,0,1,3,4
346,11.5825,9.41685,3368,3,0,1,3,4
347,13.0175,4.0842061,3562,3,0,1,2,4
348,17.3225,17.958814,3528,3,1,0,2,4
349,15.375,17.458525,3399,2,1,0,2,4
350,10.591653,16.292189,2464,1,0,1,2,4
351,9.771653,11.375193,2211,1,0,1,3,4
352,11.343347,11.584032,3143,2,0,1,3,4
353,15.819153,4.1252436,3534,3,0,1,2,4
354,17.561653,14.8338,2553,3,0,1,2,4
355,17.356653,3.167425,2841,3,1,0,2,4
356,15.306653,18.374482,2046,2,1,0,3,4
357,12.4025,12.750368,856,1,0,1,3,4
358,11.266103,10.391097,451,1,1,0,3,4
359,13.191299,16.044155,887,2,0,1,3,4
360,13.325,12.62615,1059,3,0,1,2,4
361,12.26433,19.695387,2047,3,0,1,3,4
362,10.181653,8.000604,2169,3,1,0,3,4
363,12.778347,9.000579,2508,2,1,0,3,4
364,16.81,14.750318,1820,1,0,1,3,4
365,15.17,12.875189,1608,1,1,0,3,1
